Date,Comment,Quality,Difficulty,Tags,Course,For Credit,Attendance,Grade,Textbook,Thumbs Up,Thumbs Down
2011-05-16,"Attendance not mandatory. More you go to class, better grade you receive. Somewhat helpful, but have heard other CIS150 teachers are better. Not the end of the world if stuck with him. Tests are confusing, but all CIS150 teachers have same exact tests.",4.0,3.0,,CIS150,False,,,1,0,0
2011-05-11,"Good professor. Class was moderately challenging, requires some work. Lectures induce comas though. He is very helpful outside of class.",3.0,4.0,,CIS360,False,,,3,0,0
2007-02-27,Good course.  always a help with problems,4.0,3.0,,CIS360,False,,,3,0,0
2006-04-20,"Worst instructor ever, except for the easy grade but you have to suffer through his ranting lectures. He seems to get lost sometimes as if he does not understand the material. In my opinion he is a poor instructor and he is only there because he is tenured.",2.0,4.0,,CIS,False,,,,0,0
2005-12-19,This class is a joke I didn't spent a lot of money to have a grade an easy grade given to me.  This guy reads from the book and if he can answer a questions he changes the subject and tells you to refer to the chapter.I am angry because I worked hard for a good grade other people completement him a gives them good grades and they do not deserve it.,1.0,3.0,,CIS360,False,,,,0,0
2005-12-07,"His tests are really easy, STRAIGHT FROM THE BOOK. He gives a HUGE group project, but he helps you out ALOT if you ask for it. Overall easy class",5.0,2.0,,CIS360,False,,,,0,0
2005-09-16,"This professor is also the chairman of the Dept. and I have no idea why.  It is obvious he has not kept up with the industry, still stuck in the old age of DB.  His assignments are torturous, you have to work with the same group all semester long.  While it's true that he makes time to help you out, the assignments are outdated and not very helpful.  He needs to retire.",2.0,3.0,,CIS,False,,,,0,0
2005-07-07,"Boring!If this professor does not confuse you, you will fall asleep in class. The assignments and projects make no since and they do reflect current technology like wireless networks and PDA devices. They do not include modern theories  like TQM either. The professor is a fair and nice but the class and his teaching methods are outdated!",1.0,3.0,,CIS360,False,,,,0,0
2005-07-05,"This professor should retire. Time and technology have passed him by. He talks to much about the 1970's which was the last time he worked in the industry. His course work, assignments, and exams are from the publisher of the book. He does not know the subject and he is confused about the material and he reads alound in class.",1.0,2.0,,CIS520,False,,,,0,0
2005-04-27,"He really knows his stuff. Just go to class so you can actually learn the material. On the projects, ask for his help early. He is very very nice and will help you until you have an A. You just have to ask. Great class.(if you like databases...)",5.0,2.0,,CIS360,False,,,,0,0
